id,isolate,aliases,country,continent,region,year,source,NCBI_BioProject,comments,sender,curator,date_entered,datestamp,FKS,LEU2,NMT1,TRP1,UGP1,URA3,ST (MLST)
223,46SA,,Iran,Asia,Tehran,2009,blood,,in Amanloo et al ST104 is designated as ST74,3,4,2016-09-09,2018-11-14,51,7,50,50,50,9,104
224,4SA,,Iran,Asia,Tehran,2009,other,,in Amanloo et al ST105 is designated as ST75; has been isolated from groin swab,3,4,2016-09-09,2018-11-14,50,16,9,4,13,50,105
225,13SA,,Iran,Asia,Tehran,2009,blood,,in Amanloo et al ST105 is designated as ST75,3,4,2016-09-09,2018-11-14,50,16,9,4,13,50,105
226,23SA,,Iran,Asia,Tehran,2009,vaginal swab,,in Amanloo et al ST105 is designated as ST75,3,4,2016-09-09,2018-11-14,50,16,9,4,13,50,105
227,45SA,,Iran,Asia,Tehran,2009,blood,,in Amanloo et al ST105 is designated as ST75,3,4,2016-09-09,2018-11-14,50,16,9,4,13,50,105
228,15SA,,Iran,Asia,Tehran,2009,blood,,in Amanloo et al ST106 is designated as ST76,3,4,2016-09-09,2018-11-14,19,50,1,51,51,51,106
229,29SA,,Iran,Asia,Tehran,2009,vaginal swab,,in Amanloo et al ST107 is designated as ST77,3,4,2016-09-09,2018-11-14,52,7,50,4,50,9,107
230,39SA,,Iran,Asia,Tehran,2009,urine,,in Amanloo et al ST108 is designated as ST78,3,4,2016-09-09,2018-11-14,50,7,9,4,13,50,108
231,43SA,,Iran,Asia,Tehran,2009,vaginal swab,,in Amanloo et al ST109 is designated as ST79,3,4,2016-09-09,2018-11-14,52,7,50,50,50,9,109
232,V010,,Tanzania,Africa,Sekou toure,2016,vaginal swab,,,4,4,2018-08-10,2019-09-11,16,9,47,13,13,9,112
233,V012,,Tanzania,Africa,Sekou toure,2016,vaginal swab,,,4,4,2018-08-10,2019-09-11,10,22,3,5,16,8,113
234,V016,,Tanzania,Africa,Sekou toure,2016,vaginal swab,,,4,4,2018-08-10,2019-09-11,16,9,47,13,13,9,112
235,V019,,Tanzania,Africa,Sekou toure,2016,vaginal swab,,,4,4,2018-08-10,2019-09-11,10,22,3,5,16,8,113
236,V050,,Tanzania,Africa,Nyamagana,2016,urine,,,4,4,2018-08-10,2019-09-11,3,4,4,3,3,4,7
237,V052,,Tanzania,Africa,Buzuruga HC,2016,urine,,,4,4,2018-08-10,2019-09-11,16,9,47,13,13,9,112
238,V053,,Tanzania,Africa,Nyamagana,2016,urine,,,4,4,2018-08-10,2019-09-11,8,5,3,5,1,1,15
239,V055,,Tanzania,Africa,Makongoro,2016,urine,,,4,4,2018-08-10,2019-09-11,7,4,3,4,1,3,18
240,V063,,Tanzania,Africa,Makongoro,2016,urine,,,4,4,2018-08-10,2019-09-11,7,16,46,5,1,3,114
241,V068,,Tanzania,Africa,Nyamagana,2016,urine,,,4,4,2018-08-10,2019-09-11,7,16,46,5,1,3,114
242,V072,,Tanzania,Africa,Bugando,2016,urine,,,4,4,2018-08-10,2019-09-11,7,4,3,4,1,3,18
243,V074,,Tanzania,Africa,Bugando,2016,urine,,,4,4,2018-08-10,2019-09-11,16,9,47,13,13,9,112
244,V076,,Tanzania,Africa,Bugando,2016,urine,,,4,4,2018-08-10,2019-09-11,3,4,4,3,3,4,7
245,V079,,Tanzania,Africa,Bugando,2016,urine,,,4,4,2018-08-10,2019-09-11,6,6,5,2,3,21,115
246,V080,,Tanzania,Africa,Bugando,2016,urine,,,4,4,2018-08-10,2019-09-11,5,7,8,7,3,6,3
247,V081,,Tanzania,Africa,Bugando,2016,urine,,,4,4,2018-08-10,2019-09-11,6,6,5,2,3,21,115
248,V082,,Tanzania,Africa,Bugando,2016,urine,,,4,4,2018-08-10,2019-09-11,3,4,4,3,3,4,7
249,V083,,Tanzania,Africa,Bugando,2016,urine,,,4,4,2018-08-10,2019-09-11,7,4,3,4,1,3,18
250,V084,,Tanzania,Africa,Bugando,2016,urine,,,4,4,2018-08-10,2019-09-11,7,4,3,4,1,3,18
251,V086,,Tanzania,Africa,Bugando,2016,urine,,,4,4,2018-08-10,2019-09-11,16,9,47,13,13,9,112
252,V091,,Tanzania,Africa,Buzuruga HC,2016,urine,,,4,4,2018-08-10,2019-09-11,7,16,46,5,1,3,114
253,V093,,Tanzania,Africa,Buzuruga HC,2016,urine,,,4,4,2018-08-10,2019-09-11,14,1,3,28,8,9,116
254,V095,,Tanzania,Africa,Buzuruga HC,2016,urine,,,4,4,2018-08-10,2019-09-11,7,4,3,4,1,3,18
255,V096,,Tanzania,Africa,Nyamagana,2016,urine,,,4,4,2018-08-10,2019-09-11,3,2,45,23,1,9,117
257,V104,,Tanzania,Africa,Bugando,2017,blood,,,4,4,2018-08-10,2019-09-11,7,4,3,4,1,3,18
258,V113,,Tanzania,Africa,sengerema district hospital,2016,urine,,,4,4,2018-08-10,2019-09-11,7,16,46,5,1,3,114
259,V119,,Tanzania,Africa,sengerema district hospital,2016,urine,,,4,4,2018-08-10,2019-09-11,13,9,17,13,1,11,28
260,V120,,Tanzania,Africa,sengerema district hospital,2016,urine,,,4,4,2018-08-10,2019-09-11,3,2,45,23,1,9,117
261,V121,,Tanzania,Africa,sengerema district hospital,2016,urine,,,4,4,2018-08-10,2019-09-11,3,2,45,23,1,9,117
262,V122,,Tanzania,Africa,sengerema district hospital,2016,urine,,,4,4,2018-08-10,2019-09-11,3,2,45,23,1,9,117
263,V124,,Tanzania,Africa,sengerema district hospital,2016,urine,,,4,4,2018-08-10,2019-09-11,3,2,45,23,1,9,117
264,V169,,Tanzania,Africa,Bugando,2016,oral swab,,,4,4,2018-08-10,2019-09-11,8,5,3,5,1,1,15
265,V170,,Tanzania,Africa,Bugando,2016,oral swab,,,4,4,2018-08-10,2019-09-11,7,4,3,4,1,3,18
266,V171,,Tanzania,Africa,Bugando,2016,oral swab,,,4,4,2018-08-10,2019-09-11,7,4,3,4,1,3,18
267,V189,,Tanzania,Africa,Makongoro,2016,vaginal swab,,,4,4,2018-08-10,2019-09-11,7,4,3,4,1,3,18
268,V198,,Tanzania,Africa,Makongoro,2016,vaginal swab,,,4,4,2018-08-10,2019-09-11,7,4,3,4,1,3,18
269,V203,,Tanzania,Africa,Makongoro,2016,vaginal swab,,,4,4,2018-08-10,2019-09-11,7,4,3,4,1,3,18
270,V215,,Tanzania,Africa,Makongoro,2016,vaginal swab,,,4,4,2018-08-10,2019-09-11,7,4,3,4,1,3,18
271,V221,,Tanzania,Africa,Makongoro,2016,vaginal swab,,,4,4,2018-08-10,2019-09-11,7,4,3,4,1,3,18
272,V225,,Tanzania,Africa,Makongoro,2016,vaginal swab,,,4,4,2018-08-10,2019-09-11,7,4,3,4,1,3,18
273,V229,,Tanzania,Africa,Makongoro,2016,vaginal swab,,,4,4,2018-08-10,2019-09-11,7,4,3,4,2,3,111
274,V246,,Tanzania,Africa,Makongoro,2016,vaginal swab,,,4,4,2018-08-10,2019-09-11,3,2,45,23,1,9,117
275,V250,,Tanzania,Africa,Makongoro,2016,vaginal swab,,,4,4,2018-08-10,2019-09-11,7,4,3,4,1,3,18
276,V276,,Tanzania,Africa,Makongoro,2016,vaginal swab,,,4,4,2018-08-10,2019-09-11,5,7,8,7,3,5,110
277,V321,,Tanzania,Africa,Bugando,2015,sputum,,,4,4,2018-08-10,2019-09-11,7,4,3,4,1,3,18
278,V398,,Tanzania,Africa,Makongoro,2016,vaginal swab,,,4,4,2018-08-10,2019-09-11,7,4,3,4,1,3,18
279,IR-01,18AR,Iran,Asia,Sari,2011,other,,,13,4,2018-08-10,2019-09-11,50,16,9,4,13,9,119
280,IR-02,15AR,Iran,Asia,Sari,2011,other,,,13,4,2018-08-10,2019-09-11,7,23,44,8,1,5,120
281,IR-03,9AR,Iran,Asia,Tehran,2010,other,,,13,4,2018-08-10,2019-09-11,7,13,17,29,3,19,121
282,IR-04,2AR,Iran,Asia,Tehran,2009,bronchoalveolar lavage,,,13,4,2018-08-10,2019-09-11,21,9,14,10,5,9,122
283,6,,Brazil,South America,Ribeirão Preto - São Paulo,2014,blood,,,12,4,2018-08-15,2018-08-15,5,7,8,4,3,6,118
284,7,,Brazil,South America,Ribeirão Preto - São Paulo,2014,blood,,,12,4,2018-08-15,2018-08-15,5,7,8,7,3,6,3
285,16,,Brazil,South America,Ribeirão Preto - São Paulo,2014,blood,,,12,4,2018-08-15,2018-08-15,50,16,9,4,13,50,105
286,20,,Brazil,South America,Ribeirão Preto - São Paulo,2014,blood,,,12,4,2018-08-15,2018-08-15,5,7,8,7,3,6,3
287,21,,Brazil,South America,Ribeirão Preto - São Paulo,2014,blood,,,12,4,2018-08-15,2018-08-15,3,4,4,3,3,4,7
288,25,,Brazil,South America,Ribeirão Preto - São Paulo,2014,blood,,,12,4,2018-08-15,2018-08-15,7,7,11,10,5,9,16
289,28,,Brazil,South America,Ribeirão Preto - São Paulo,2014,blood,,,12,4,2018-08-15,2018-08-15,16,9,47,13,13,9,112
290,46,,Brazil,South America,Ribeirão Preto - São Paulo,2015,blood,,,12,4,2018-08-15,2018-08-15,8,5,3,5,1,1,15
291,50,,Brazil,South America,Ribeirão Preto - São Paulo,2015,blood,,,12,4,2018-08-15,2018-08-15,3,4,4,3,3,4,7
292,72,,Brazil,South America,Ribeirão Preto - São Paulo,2015,blood,,,12,4,2018-08-15,2018-08-15,5,7,8,7,3,6,3
293,WM_18.53,,Australia,Oceania,New South Wales,2017,blood,,,14,4,2018-08-16,2018-08-16,7,16,34,13,1,8,123
294,WM_18.41,,Australia,Oceania,New South Wales,2014,blood,,,14,4,2018-08-16,2018-08-16,7,16,34,13,1,8,123
295,WM_18.42,,Australia,Oceania,New South Wales,2014,blood,,,14,4,2018-08-16,2018-08-16,7,16,34,13,1,8,123
296,WM_04.113,,Australia,Oceania,Victoria,2003,blood,,,14,4,2018-08-16,2018-08-16,7,16,34,13,1,8,123
297,WM_18.66,,Australia,Oceania,Victoria,2017,blood,,,14,4,2018-08-16,2018-08-16,8,3,9,13,11,9,124
298,WM_03.419,,Australia,Oceania,New South Wales,2003,blood,,,14,4,2018-08-16,2018-08-16,10,9,19,5,1,2,83
299,WM_03.450,,Australia,Oceania,New South Wales,2003,blood,,,14,4,2018-08-16,2018-08-16,10,9,19,5,1,2,83
300,WM_03.707,,Australia,Oceania,New South Wales,2003,blood,,,14,4,2018-08-16,2018-08-16,10,9,19,5,1,2,83
301,WM_18.39,,Australia,Oceania,New South Wales,2014,blood,,,14,4,2018-08-16,2018-08-16,10,9,19,5,1,2,83
302,WM_18.43,,Australia,Oceania,New South Wales,2014,blood,,,14,4,2018-08-16,2018-08-16,10,9,19,5,1,2,83
303,WM_18.48,,Australia,Oceania,New South Wales,2015,blood,,,14,4,2018-08-16,2018-08-16,10,9,19,5,1,2,83
304,WM_18.65,,Australia,Oceania,New South Wales,2017,blood,,,14,4,2018-08-16,2018-08-16,10,9,19,5,1,2,83
305,WM_05.155,,Australia,Oceania,Western Australia,2004,blood,,,14,4,2018-08-16,2018-08-16,13,2,9,4,13,9,126
306,WM_18.45,,Australia,Oceania,New South Wales,2014,blood,,,14,4,2018-08-16,2018-08-16,14,12,14,16,3,10,127
307,IR-05,4AR,Iran,Asia,Tehran,2010,bronchoalveolar lavage,,,13,4,2018-08-16,2019-09-11,7,13,17,9,3,19,59
308,IR-06,6AR,Iran,Asia,Isfahan,2010,vaginal swab,,,13,4,2018-08-16,2019-09-11,7,5,6,12,1,8,22
309,IR-07,7AR,Iran,Asia,Isfahan,2010,sputum,,,13,4,2018-08-16,2019-09-11,20,13,22,9,3,2,46
310,IR-08,10AR,Iran,Asia,Tehran,2009,sputum,,,13,4,2018-08-16,2019-09-11,20,13,22,9,3,2,46
311,IR-09,11AR,Iran,Asia,Tehran,2008,urine,,,13,4,2018-08-16,2019-09-11,7,23,44,8,1,5,120
312,IR-10,14AR,Iran,Asia,Sari,2011,urine,,,13,4,2018-08-16,2019-09-11,51,7,50,50,50,9,104
313,IR-11,17AR,Iran,Asia,Sari,2011,urine,,,13,4,2018-08-16,2019-09-11,51,7,50,50,50,9,104
314,IR-12,19AR,Iran,Asia,Sari,2011,sputum,,,13,4,2018-08-16,2019-09-11,51,7,50,50,50,9,104
315,IR-13,20AR,Iran,Asia,Tehran,2010,bronchoalveolar lavage,,,13,4,2018-08-16,2019-09-11,5,7,8,7,3,6,3
316,IR-14,22AR,Iran,Asia,Isfahan,2010,vaginal swab,,,13,4,2018-08-16,2019-09-11,3,4,4,3,3,4,7
317,IR-15,23AR,Iran,Asia,Tehran,2010,bronchoalveolar lavage,,,13,4,2018-08-16,2019-09-11,3,4,4,3,3,4,7
318,IR-16,24AR,Iran,Asia,Tehran,2010,bronchoalveolar lavage,,,13,4,2018-08-16,2019-09-11,5,7,8,7,3,6,3
319,IR-17,25AR,Iran,Asia,Tehran,2010,bronchoalveolar lavage,,,13,4,2018-08-16,2019-09-11,3,4,4,3,3,4,7
320,IR-18,26AR,Iran,Asia,Tehran,2010,bronchoalveolar lavage,,,13,4,2018-08-16,2019-09-11,3,4,4,3,3,4,7
321,IR-19,27AR,Iran,Asia,Tehran,2009,bronchoalveolar lavage,,,13,4,2018-08-16,2019-09-11,3,4,4,3,3,4,7
322,IR-20,28AR,Iran,Asia,Kashan,2008,vaginal swab,,,13,4,2018-08-16,2019-09-11,7,13,17,9,3,19,59
323,IR-21,29AR,Iran,Asia,Tehran,2010,bronchoalveolar lavage,,,13,4,2018-08-16,2019-09-11,5,7,8,7,3,6,3
324,IR-22,30AR,Iran,Asia,Tehran,2010,bronchoalveolar lavage,,,13,4,2018-08-16,2019-09-11,7,13,17,9,3,19,59
325,IR-23,32AR,Iran,Asia,Tehran,2008,blood,,,13,4,2018-08-16,2019-09-11,7,13,17,9,3,19,59
326,IR-24,33AR,Iran,Asia,Tehran,2009,bronchoalveolar lavage,,,13,4,2018-08-16,2019-09-11,7,5,6,12,1,8,22
327,IR-25,34AR,Iran,Asia,Tehran,2009,other,,,13,4,2018-08-16,2019-09-11,3,4,4,3,3,4,7
328,IR-26,36AR,Iran,Asia,Tehran,2010,bronchoalveolar lavage,,,13,4,2018-08-16,2019-09-11,3,4,4,3,3,4,7
329,IR-27,37AR,Iran,Asia,Tehran,2008,urine,,,13,4,2018-08-16,2019-09-11,7,5,6,12,1,8,22
330,IR-28,38AR,Iran,Asia,Isfahan,2010,vaginal swab,,,13,4,2018-08-16,2019-09-11,5,7,8,7,3,6,3
331,IR-29,39AR,Iran,Asia,Tehran,2010,ascites,,,13,4,2018-08-16,2019-09-11,7,13,17,9,3,19,59
332,IR-30,40AR,Iran,Asia,Tehran,2008,vaginal swab,,,13,4,2018-08-16,2019-09-11,51,7,50,50,50,9,104
333,IR-31,41AR,Iran,Asia,Tehran,2008,sputum,,,13,4,2018-08-16,2019-09-11,7,23,44,8,1,5,120
334,IR-32,42AR,Iran,Asia,Isfahan,2010,vaginal swab,,,13,4,2018-08-16,2019-09-11,7,5,6,12,1,8,22
335,IR-33,44AR,Iran,Asia,Tehran,2008,urine,,,13,4,2018-08-16,2019-09-11,5,7,8,7,3,6,3
336,IR-34,48AR,Iran,Asia,Isfahan,2010,vaginal swab,,,13,4,2018-08-16,2019-09-11,20,13,22,9,3,2,46
337,IR-35,49AR,Iran,Asia,Isfahan,2010,vaginal swab,,,13,4,2018-08-16,2019-09-11,20,13,22,9,3,2,46
338,IR-36,50AR,Iran,Asia,Tehran,2010,bronchoalveolar lavage,,,13,4,2018-08-16,2019-09-11,7,13,17,9,3,19,59
339,IR-37,51AR,Iran,Asia,Tehran,2010,bronchoalveolar lavage,,,13,4,2018-08-16,2019-09-11,7,13,17,9,3,19,59
340,IR-38,52AR,Iran,Asia,Tehran,2008,blood,,,13,4,2018-08-16,2019-09-11,7,13,17,9,3,19,59
341,IR-39,53AR,Iran,Asia,Kashan,2008,vaginal swab,,,13,4,2018-08-16,2019-09-11,51,7,50,50,50,9,104
342,IR-40,54AR,Iran,Asia,Kashan,2007,vaginal swab,,,13,4,2018-08-16,2019-09-11,7,13,17,9,3,19,59
343,SS4,,South Korea,Asia,Seoul,2016,urine,,,26,4,2018-10-31,2018-10-31,3,22,4,3,3,4,138
344,SS5,,South Korea,Asia,Seoul,2016,other,,tissue,26,4,2018-10-31,2018-10-31,3,22,4,3,3,4,138
345,SS8,,South Korea,Asia,Seoul,2016,blood,,,26,4,2018-10-31,2018-10-31,3,22,4,3,3,4,138
346,SS14,,South Korea,Asia,Seoul,2016,urine,,,26,4,2018-10-31,2018-10-31,3,22,4,3,3,4,138
347,SS19,,South Korea,Asia,Seoul,2016,urine,,,26,4,2018-10-31,2018-10-31,3,22,4,3,3,4,138
348,SS22,,South Korea,Asia,Seoul,2016,blood,,,26,4,2018-10-31,2018-10-31,3,22,4,3,3,4,138
349,SS24,,South Korea,Asia,Seoul,2016,urine,,,26,4,2018-10-31,2018-10-31,3,22,4,3,3,4,138
350,SS26,,South Korea,Asia,Seoul,2016,unknown,,,26,4,2018-10-31,2018-10-31,3,22,4,3,3,4,138
351,CB2,,South Korea,Asia,Chungbuk,2016,blood,,,26,4,2018-10-31,2018-10-31,3,22,4,3,3,4,138
352,CB3,,South Korea,Asia,Chungbuk,2016,blood,,,26,4,2018-10-31,2018-10-31,3,22,4,3,3,4,138
353,SS9,,South Korea,Asia,Seoul,2016,urine,,,26,4,2018-10-31,2018-10-31,7,22,3,50,1,8,139
354,SS12,,South Korea,Asia,Seoul,2016,urine,,,26,4,2018-10-31,2018-10-31,7,22,3,50,1,8,139
355,CG10,,South Korea,Asia,Seoul,2015,blood,,,26,4,2018-10-31,2018-10-31,7,22,3,50,1,8,139
356,CG15,,South Korea,Asia,Seoul,2015,blood,,,26,4,2018-10-31,2018-10-31,7,22,3,50,1,8,139
357,CG18,,South Korea,Asia,Seoul,2015,blood,,,26,4,2018-10-31,2018-10-31,7,22,3,50,1,8,139
358,CG32,,South Korea,Asia,Seoul,2015,blood,,,26,4,2018-10-31,2018-10-31,7,22,3,50,1,8,139
359,CG22,,South Korea,Asia,Seoul,2015,blood,,,26,4,2018-10-31,2018-10-31,8,22,3,5,1,2,140
360,CGL11,,South Korea,Asia,Wonju,2015,blood,,,26,4,2018-10-31,2018-10-31,8,22,3,5,1,2,140
361,CGL9,,South Korea,Asia,Wonju,2015,blood,,,26,4,2018-10-31,2018-10-31,10,21,14,50,1,9,141
362,CGL13,,South Korea,Asia,Wonju,2015,blood,,,26,4,2018-10-31,2018-10-31,7,17,11,10,5,9,142
363,CG19,,South Korea,Asia,Seoul,2015,blood,,,26,4,2018-10-31,2018-10-31,5,17,8,7,3,50,143
364,CGL6,,South Korea,Asia,Seoul,2015,blood,,,26,4,2018-10-31,2018-10-31,5,17,8,7,14,6,144
365,595,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,8,5,3,5,1,1,15
366,611,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,6,6,5,2,3,4,19
367,616,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,7,7,11,10,5,9,16
368,617,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,1,2,2,1,2,1,8
369,645,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,8,5,13,9,3,1,17
370,685,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,7,7,11,10,5,9,16
371,687,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,7,7,11,10,5,9,16
372,699,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,6,10,5,2,3,4,95
373,712,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,5,7,8,7,3,6,3
374,759,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,2,5,7,5,1,2,6
375,763,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,6,10,5,2,3,4,95
376,766,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,5,7,8,7,3,6,3
377,782,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,8,5,3,5,1,1,15
378,785,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,5,7,8,7,3,6,3
379,788,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,8,5,3,5,1,1,15
380,789,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,7,7,11,10,5,9,16
381,805,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,8,4,3,5,1,2,10
382,846,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,5,7,8,7,3,6,3
383,901,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,1,2,2,1,2,1,8
384,903,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,7,7,11,10,5,9,16
385,906,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,1,2,2,1,2,1,8
386,908,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,1,2,2,1,2,1,8
387,922,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,10,9,19,5,1,2,83
388,932,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,1,2,2,1,2,1,8
389,933,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,8,5,3,5,1,1,15
390,959,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,7,7,11,10,5,9,16
391,965,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,6,6,5,2,3,4,19
392,995,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-08-16,8,5,3,5,1,1,15
393,1001,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,21,9,14,18,6,1,47
394,1006,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,8,4,3,5,1,2,10
395,1008,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,6,6,5,2,3,4,19
396,1031,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,8,5,3,5,1,1,15
397,1035,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,8,5,3,5,1,1,15
398,1051,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,5,7,8,7,3,6,3
399,1066,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,7,7,11,10,5,9,16
400,1074,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,5,7,8,7,3,6,3
401,1092,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,8,4,3,5,1,2,10
402,1094,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,6,6,5,2,3,4,19
403,1120,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,7,5,6,12,1,8,22
404,1140,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,8,5,13,9,3,1,17
405,1141,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,7,7,11,10,5,9,16
406,1159,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,1,2,2,1,2,1,8
407,1160,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,8,4,3,5,1,2,10
408,1174,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,8,4,3,5,1,2,10
409,1222,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,5,7,8,7,3,6,3
410,1228,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,6,6,5,2,3,4,19
411,1238,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,8,5,3,5,1,1,15
412,1246,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,8,4,3,5,1,2,10
413,1249,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,5,7,8,7,3,6,3
414,1258,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,8,5,3,5,1,1,15
415,1259,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,10,5,12,11,3,7,20
416,1262,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,5,7,8,7,3,6,3
417,1372,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,1,2,2,1,2,1,8
418,1659,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,7,7,11,10,5,9,16
419,1982,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,5,7,8,7,3,6,3
420,2015,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,7,5,6,12,1,8,22
421,2020,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,9,16,43,27,16,5,96
422,2086,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,5,7,8,7,3,6,3
423,2099,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,7,7,11,10,5,9,16
424,2101,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,7,7,11,10,5,9,16
425,2102,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,8,4,3,5,1,2,10
426,2104,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,1,2,2,1,2,1,8
427,2132,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,6,6,5,2,3,4,19
428,2146,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,6,6,5,2,3,4,19
429,2162,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,7,5,6,12,1,8,22
430,2163,,USA,North America,Atlanta,2009,unknown,,All are non-sterile body sites,24,4,2019-07-02,2019-07-02,8,5,3,5,1,1,15
